X,Y,stop_id,stop_code,stop_name,stop_desc,platform_code,zone_id,stop_url,level_id,location_type,parent_station,wheelchair_boarding,platform_name,stop_address,municipality,on_street,at_street,vehicle_type
,,place-ER-0312,,Rowley,,,CR-zone-7,https://www.mbta.com/stops/place-ER-0312,,"1",,"1",,"70 Railroad Ave, Rowley, MA 01969",Rowley,,,
,,place-ER-0362,,Newburyport,,,CR-zone-8,https://www.mbta.com/stops/place-ER-0362,,"1",,"1",,"25 Boston Way, Newburyport, MA 01950",Newburyport,,,
,,place-FB-0109,,Endicott,,,CR-zone-2,https://www.mbta.com/stops/place-FB-0109,,"1",,"2",,"186 Grant Ave, Dedham, MA 02026",Dedham,,,
,,place-FB-0118,,Dedham Corporate Center,,,CR-zone-2,https://www.mbta.com/stops/place-FB-0118,,"1",,"1",,"125 Allied Dr, Dedham, MA 02026",Dedham,,,
,,place-FB-0125,,Islington,,,CR-zone-3,https://www.mbta.com/stops/place-FB-0125,,"1",,"2",,"48 Carroll Ave, Westwood, MA 02090",Westwood,,,
,,place-FB-0143,,Norwood Depot,,,CR-zone-3,https://www.mbta.com/stops/place-FB-0143,,"1",,"1",,"14 Hill St, Norwood, MA 02062",Norwood,,,
,,place-FB-0148,,Norwood Central,,,CR-zone-3,https://www.mbta.com/stops/place-FB-0148,,"1",,"1",,"164 Broadway, Norwood, MA 02062",Norwood,,,
,,place-FB-0166,,Windsor Gardens,,,CR-zone-4,https://www.mbta.com/stops/place-FB-0166,,"1",,"2",,"Buckminster Dr and Engamore Ln, Norwood, MA 02062",Norwood,,,
,,place-FB-0177,,Plimptonville,,,CR-zone-4,https://www.mbta.com/stops/place-FB-0177,,"1",,"2",,"185 Plimpton St, Walpole, MA 02081",Walpole,,,
,,place-FB-0191,,Walpole,,,CR-zone-4,https://www.mbta.com/stops/place-FB-0191,,"1",,"2",,"275 West St, Walpole, MA 02081",Walpole,,,
,,place-FB-0230,,Norfolk,,,CR-zone-5,https://www.mbta.com/stops/place-FB-0230,,"1",,"1",,"9 Rockwood Rd, Norfolk, MA 02056",Norfolk,,,
,,place-FB-0275,,Franklin,,,CR-zone-6,https://www.mbta.com/stops/place-FB-0275,,"1",,"2",,"75 Depot St, Franklin, MA 02038",Franklin,,,
,,place-FB-0303,,Forge Park/495,,,CR-zone-6,https://www.mbta.com/stops/place-FB-0303,,"1",,"1",,"1000 W Central St, Franklin, MA 02038",Franklin,,,
,,place-FR-0064,,Belmont,,,CR-zone-1,https://www.mbta.com/stops/place-FR-0064,,"1",,"2",,"Common St and Concord Ave, Belmont, MA 02478",Belmont,,,
,,place-FR-0074,,Waverley,,,CR-zone-1,https://www.mbta.com/stops/place-FR-0074,,"1",,"2",,"525 Trapelo Rd, Belmont, MA 02478",Belmont,,,
,,place-FR-0098,,Waltham,,,CR-zone-2,https://www.mbta.com/stops/place-FR-0098,,"1",,"1",,"75 Carter St, Waltham, MA 02453",Waltham,,,
,,place-FR-0115,,Brandeis/Roberts,,,CR-zone-2,https://www.mbta.com/stops/place-FR-0115,,"1",,"1",,"1 Sawyer Rd, Waltham, MA 02453",Waltham,,,
,,place-FR-0132,,Kendal Green,,,CR-zone-3,https://www.mbta.com/stops/place-FR-0132,,"1",,"2",,"198 Church St, Weston, MA",Weston,,,
,,place-FR-0137,,Hastings,,,CR-zone-3,https://www.mbta.com/stops/place-FR-0137,,"1",,"2",,"105 Viles St, Weston, MA 02493",Weston,,,
,,place-FR-0147,,Silver Hill,,,CR-zone-3,https://www.mbta.com/stops/place-FR-0147,,"1",,"2",,"Silver Hill Rd and Merriam St, Weston, MA 02493",Weston,,,
,,place-FR-0167,,Lincoln,,,CR-zone-4,https://www.mbta.com/stops/place-FR-0167,,"1",,"2",,"160 Lincoln Rd, Lincoln, MA 01773",Lincoln,,,
,,place-FR-0201,,Concord,,,CR-zone-5,https://www.mbta.com/stops/place-FR-0201,,"1",,"2",,"90 Thoreau St, Concord, MA 01742",Concord,,,
,,place-FR-0219,,West Concord,,,CR-zone-5,https://www.mbta.com/stops/place-FR-0219,,"1",,"1",,"Commonwealth Ave and Main St, West Concord, MA 01742",Concord,,,
,,place-FR-0253,,South Acton,,,CR-zone-6,https://www.mbta.com/stops/place-FR-0253,,"1",,"1",,"4 Central St, Acton, MA 01720",Acton,,,
,,place-FR-0301,,Littleton/Route 495,,,CR-zone-7,https://www.mbta.com/stops/place-FR-0301,,"1",,"1",,"Grimes Ln and Foster St, Littleton, MA 01460",Littleton,,,
,,place-FR-0361,,Ayer,,,CR-zone-8,https://www.mbta.com/stops/place-FR-0361,,"1",,"2",,"70 Main St, Ayer, MA 01432",Ayer,,,
,,place-FR-0394,,Shirley,,,CR-zone-8,https://www.mbta.com/stops/place-FR-0394,,"1",,"2",,"Ayer Rd and Phoenix St, Shirley, MA 01464",Shirley,,,
,,place-FR-0451,,North Leominster,,,CR-zone-8,https://www.mbta.com/stops/place-FR-0451,,"1",,"1",,"44 Nashua St, Leominster, MA 01453",Leominster,,,
,,place-FR-0494,,Fitchburg,,,CR-zone-8,https://www.mbta.com/stops/place-FR-0494,,"1",,"1",,"150 Main St, Fitchburg, MA 01420",Fitchburg,,,
,,place-FR-3338,,Wachusett,,,CR-zone-8,https://www.mbta.com/stops/place-FR-3338,,"1",,"1",,"55 Authority Dr, Fitchburg, MA 01420",Fitchburg,,,
,,place-FS-0049,,Foxboro,,,CR-zone-Event,https://www.mbta.com/stops/place-FS-0049,,"1",,"1",,"Gillette Stadium near Lots 3 and 4, Foxborough, MA 02035",Foxborough,,,
,,place-GB-0198,,Montserrat,,,CR-zone-4,https://www.mbta.com/stops/place-GB-0198,,"1",,"1",,"180 Essex St, Beverly, MA 01915",Beverly,,,
,,place-GB-0222,,Prides Crossing,,,CR-zone-5,https://www.mbta.com/stops/place-GB-0222,,"1",,"2",,"600 Hale St, Beverly, MA 01915",Beverly,,,
,,place-GB-0229,,Beverly Farms,,,CR-zone-5,https://www.mbta.com/stops/place-GB-0229,,"1",,"1",,"1 Oak St, Beverly, MA 01915",Beverly,,,
,,place-GB-0254,,Manchester,,,CR-zone-6,https://www.mbta.com/stops/place-GB-0254,,"1",,"1",,"40 Beach St, Manchester, MA 01944",Manchester-by-the-Sea,,,
,,place-GB-0296,,West Gloucester,,,CR-zone-7,https://www.mbta.com/stops/place-GB-0296,,"1",,"1",,"290 Essex Ave, Gloucester, MA 01930",Gloucester,,,
,,place-GB-0316,,Gloucester,,,CR-zone-7,https://www.mbta.com/stops/place-GB-0316,,"1",,"1",,"75 Railroad Ave, Gloucester, MA 01930",Gloucester,,,
,,place-GB-0353,,Rockport,,,CR-zone-8,https://www.mbta.com/stops/place-GB-0353,,"1",,"1",,"17 Railroad Ave, Rockport, MA 01966",Rockport,,,
,,place-GRB-0118,,Weymouth Landing/East Braintree,,,CR-zone-2,https://www.mbta.com/stops/place-GRB-0118,,"1",,"1",,"121 Commercial St, Weymouth, MA 02184",Weymouth,,,
,,place-GRB-0146,,East Weymouth,,,CR-zone-2,https://www.mbta.com/stops/place-GRB-0146,,"1",,"1",,"1590 Commercial St, East Weymouth, MA 02189",Weymouth,,,
,,place-GRB-0162,,West Hingham,,,CR-zone-3,https://www.mbta.com/stops/place-GRB-0162,,"1",,"1",,"20 Fort Hill Rd, Hingham, MA 02043",Hingham,,,
,,place-GRB-0183,,Nantasket Junction,,,CR-zone-4,https://www.mbta.com/stops/place-GRB-0183,,"1",,"1",,"190 Summer St, Hingham, MA 02043",Hingham,,,
,,place-GRB-0199,,Cohasset,,,CR-zone-4,https://www.mbta.com/stops/place-GRB-0199,,"1",,"1",,"110 Chief Justice Cushing Hwy, Cohasset, MA 02025",Cohasset,,,
,,place-GRB-0233,,North Scituate,,,CR-zone-5,https://www.mbta.com/stops/place-GRB-0233,,"1",,"1",,"777 Country Way, Scituate, MA 02066",Scituate,,,
,,place-GRB-0276,,Greenbush,,,CR-zone-6,https://www.mbta.com/stops/place-GRB-0276,,"1",,"1",,"247 Old Drifway, Scituate, MA 02066",Scituate,,,
,,place-KB-0351,,Kingston,,,CR-zone-8,https://www.mbta.com/stops/place-KB-0351,,"1",,"1",,"134 Marion Dr, Kingston, MA 02364",Kingston,,,
,,place-MM-0150,,Holbrook/Randolph,,,CR-zone-3,https://www.mbta.com/stops/place-MM-0150,,"1",,"1",,"Union St and Center St, Randolph, MA 02368",Randolph,,,
,,place-MM-0186,,Montello,,,CR-zone-4,https://www.mbta.com/stops/place-MM-0186,,"1",,"1",,"150 Spark St, Brockton, MA 02302",Brockton,,,
,,place-MM-0200,,Brockton,,,CR-zone-4,https://www.mbta.com/stops/place-MM-0200,,"1",,"1",,"7 Commercial St, Brockton, MA 02302",Brockton,,,
,,place-MM-0219,,Campello,,,CR-zone-5,https://www.mbta.com/stops/place-MM-0219,,"1",,"1",,"30 Riverside Ave, Brockton, MA 02301",Brockton,,,
,,place-MM-0277,,Bridgewater,,,CR-zone-6,https://www.mbta.com/stops/place-MM-0277,,"1",,"1",,"85 Burrill Ave, Bridgewater, MA 02324",Bridgewater,,,
,,place-MM-0356,,Middleborough/Lakeville,,,CR-zone-8,https://www.mbta.com/stops/place-MM-0356,,"1",,"1",,"125 Commercial Dr, Lakeville, MA 02347",Lakeville,,,
,,place-NB-0064,,Roslindale Village,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0064,,"1",,"1",,"1 Belgrade Ave, Roslindale, MA 02131",Boston,,,
,,place-NB-0072,,Bellevue,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0072,,"1",,"1",,"35 Colbert St, West Roxbury, MA 02132",Boston,,,
,,place-NB-0076,,Highland,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0076,,"1",,"1",,"Corey St and Hastings St, West Roxbury, MA 02132",Boston,,,
,,place-NB-0080,,West Roxbury,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0080,,"1",,"1",,"450 Lagrange St, West Roxbury, MA 02132",Boston,,,
,,place-NB-0109,,Hersey,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0109,,"1",,"1",,"Great Plain Ave and Broad Meadow Rd, Needham, MA 02492",Needham,,,
,,place-NB-0120,,Needham Junction,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0120,,"1",,"1",,"51 Junction St, Needham, MA 02492",Needham,,,
,,place-NB-0127,,Needham Center,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0127,,"1",,"1",,"Great Plain Ave and Eaton Sq, Needham, MA 02492",Needham,,,
,,place-NB-0137,,Needham Heights,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0137,,"1",,"1",,"95 Avery Square, Needham, MA 02494",Needham,,,
,,place-NEC-1659,,Wickford Junction,,,CR-zone-10,https://www.mbta.com/stops/place-NEC-1659,,"1",,"1",,"1011 Ten Rod Rd, North Kingstown, RI",North Kingstown,,,
,,place-NEC-1768,,TF Green Airport,,,CR-zone-9,https://www.mbta.com/stops/place-NEC-1768,,"1",,"1",,"700 Jefferson Blvd, Warwick, RI 02886",Warwick,,,
,,place-NEC-1851,,Providence,,,CR-zone-8,https://www.mbta.com/stops/place-NEC-1851,,"1",,"1",,"100 Gaspee St, Providence, RI 02903",Providence,,,
,,place-NEC-1919,,South Attleboro,,,CR-zone-7,https://www.mbta.com/stops/place-NEC-1919,,"1",,"1",,"1315 Newport Ave, Attleboro, MA 02703",Attleboro,,,
,,place-NEC-1969,,Attleboro,,,CR-zone-7,https://www.mbta.com/stops/place-NEC-1969,,"1",,"1",,"133 S Main St, Attleboro, MA 02703",Attleboro,,,
,,place-NEC-2040,,Mansfield,,,CR-zone-6,https://www.mbta.com/stops/place-NEC-2040,,"1",,"1",,"1 Crocker St, Mansfield, MA 02048",Mansfield,,,
,,place-NEC-2108,,Sharon,,,CR-zone-4,https://www.mbta.com/stops/place-NEC-2108,,"1",,"1",,"1 Upland Rd, Sharon, MA 02067",Sharon,,,
,,place-NEC-2139,,Canton Junction,,,CR-zone-3,https://www.mbta.com/stops/place-NEC-2139,,"1",,"1",,"Beaumont St and Sherman St, Canton, MA 02021",Canton,,,
,,place-NEC-2173,,Route 128,,,CR-zone-2,https://www.mbta.com/stops/place-NEC-2173,,"1",,"1",,"50 University Ave, Westwood, MA 02090",Westwood,,,
,,place-NEC-2203,,Hyde Park,,,CR-zone-1,https://www.mbta.com/stops/place-NEC-2203,,"1",,"1",,"1 Pingree St, Hyde Park, MA 02136",Boston,,,
,,place-NHRML-0055,,West Medford,,,CR-zone-1A,https://www.mbta.com/stops/place-NHRML-0055,,"1",,"2",,"481 High St, Medford, MA 02155",Medford,,,
,,place-NHRML-0073,,Wedgemere,,,CR-zone-1,https://www.mbta.com/stops/place-NHRML-0073,,"1",,"1",,"25 Mystic Valley Pkwy, Winchester, MA 01890",Winchester,,,
,,place-NHRML-0078,,Winchester Center,,,CR-zone-1,https://www.mbta.com/stops/place-NHRML-0078,,"1",,"2",,"29 Waterfield Rd, Winchester, MA 01890",Winchester,,,
,,place-NHRML-0116,,Mishawum,,,CR-zone-2,https://www.mbta.com/stops/place-NHRML-0116,,"1",,"2",,"250 Mishawum Rd, Woburn, MA 01801",Woburn,,,
,,place-NHRML-0127,,Anderson/Woburn,,,CR-zone-2,https://www.mbta.com/stops/place-NHRML-0127,,"1",,"1",,"100 Atlantic Ave, Woburn, MA 01801",Woburn,,,
,,place-NHRML-0152,,Wilmington,,,CR-zone-3,https://www.mbta.com/stops/place-NHRML-0152,,"1",,"1",,"405 Main St, Wilmington, MA 01887",Wilmington,,,
,,place-NHRML-0218,,North Billerica,,,CR-zone-5,https://www.mbta.com/stops/place-NHRML-0218,,"1",,"1",,"Ruggles St and Station St, North Billerica, MA 01862",Billerica,,,
,,place-NHRML-0254,,Lowell,,,CR-zone-6,https://www.mbta.com/stops/place-NHRML-0254,,"1",,"1",,"101 Thorndike St, Lowell, MA 01852",Lowell,,,
,,place-PB-0158,,South Weymouth,,,CR-zone-3,https://www.mbta.com/stops/place-PB-0158,,"1",,"1",,"89 Trotter Rd, Weymouth, MA 02190",Weymouth,,,
,,place-PB-0194,,Abington,,,CR-zone-4,https://www.mbta.com/stops/place-PB-0194,,"1",,"1",,"231 Centre Ave, Abington, MA 02351",Abington,,,
,,place-PB-0212,,Whitman,,,CR-zone-5,https://www.mbta.com/stops/place-PB-0212,,"1",,"1",,"383 South Ave, Whitman, MA 02382",Whitman,,,
,,place-PB-0245,,Hanson,,,CR-zone-6,https://www.mbta.com/stops/place-PB-0245,,"1",,"1",,"1070 Main St, Hanson, MA 02341",Hanson,,,
,,place-PB-0281,,Halifax,,,CR-zone-7,https://www.mbta.com/stops/place-PB-0281,,"1",,"1",,"6 Garden Rd, Halifax, MA 02338",Halifax,,,
,,place-PB-0356,,Plymouth,,,CR-zone-8,https://www.mbta.com/stops/place-PB-0356,,"1",,"1",,"385 Court St, Plymouth, MA 02360",Plymouth,,,
,,place-SB-0156,,Canton Center,,,CR-zone-3,https://www.mbta.com/stops/place-SB-0156,,"1",,"1",,"710 Washington St, Canton, MA 02021",Canton,,,
,,place-SB-0189,,Stoughton,,,CR-zone-4,https://www.mbta.com/stops/place-SB-0189,,"1",,"1",,"45 Wyman St, Stoughton, MA 02072",Stoughton,,,
,,place-WML-0025,,Lansdowne,,,CR-zone-1A,https://www.mbta.com/stops/place-WML-0025,,"1",,"1",,"85 Brookline Ave Boston, MA 02215",Boston,,,
,,place-WML-0035,,Boston Landing,,,CR-zone-1A,https://www.mbta.com/stops/place-WML-0035,,"1",,"1",,"100 Arthur St, Boston, MA 02134",Boston,,,
,,place-WML-0081,,Newtonville,,,CR-zone-1,https://www.mbta.com/stops/place-WML-0081,,"1",,"2",,"770 Washington St Newton, MA 02460",Newton,,,
,,place-WML-0091,,West Newton,,,CR-zone-2,https://www.mbta.com/stops/place-WML-0091,,"1",,"2",,"1395 Washington St, Newton, MA 02465",Newton,,,
,,place-WML-0102,,Auburndale,,,CR-zone-2,https://www.mbta.com/stops/place-WML-0102,,"1",,"2",,"Auburn St and Woodland Rd, Newton, MA 02466",Newton,,,
,,place-WML-0125,,Wellesley Farms,,,CR-zone-3,https://www.mbta.com/stops/place-WML-0125,,"1",,"2",,"90 Croton St, Wellesley, MA 02481",Wellesley,,,
,,place-WML-0135,,Wellesley Hills,,,CR-zone-3,https://www.mbta.com/stops/place-WML-0135,,"1",,"2",,"341 Washington St, Wellesley, MA 02481",Wellesley,,,
,,place-WML-0147,,Wellesley Square,,,CR-zone-3,https://www.mbta.com/stops/place-WML-0147,,"1",,"2",,"1 Grove St, Wellesley, MA 02482",Wellesley,,,
,,place-WML-0177,,Natick Center,,,CR-zone-4,https://www.mbta.com/stops/place-WML-0177,,"1",,"2",,"1 Walnut St, Natick, MA 01760",Natick,,,
,,place-WML-0199,,West Natick,,,CR-zone-4,https://www.mbta.com/stops/place-WML-0199,,"1",,"1",,"249 W Central St, Natick, MA 01760",Natick,,,
,,place-WML-0214,,Framingham,,,CR-zone-5,https://www.mbta.com/stops/place-WML-0214,,"1",,"1",,"417 Waverly St, Framingham, MA 01702",Framingham,,,
,,place-WML-0252,,Ashland,,,CR-zone-6,https://www.mbta.com/stops/place-WML-0252,,"1",,"1",,"Pleasant St and Cordaville Rd, Ashland, MA 01721",Ashland,,,
,,place-WML-0274,,Southborough,,,CR-zone-6,https://www.mbta.com/stops/place-WML-0274,,"1",,"1",,"87 Southville Rd, Southborough, MA 01772",Southborough,,,
,,place-WML-0340,,Westborough,,,CR-zone-7,https://www.mbta.com/stops/place-WML-0340,,"1",,"1",,"Smith Pkwy and Fisher St, Westborough, MA 01581",Westborough,,,
,,place-WML-0364,,Grafton,,,CR-zone-8,https://www.mbta.com/stops/place-WML-0364,,"1",,"1",,"1 Pine St, North Grafton, MA 01536-1856",Grafton,,,
,,place-WML-0442,,Worcester,,,CR-zone-8,https://www.mbta.com/stops/place-WML-0442,,"1",,"1",,"2 Washington Sq, Worcester, MA 01608",Worcester,,,
,,place-WR-0062,,Wyoming Hill,,,CR-zone-1,https://www.mbta.com/stops/place-WR-0062,,"1",,"2",,"40 W Wyoming Ave, Melrose, MA 02176",Melrose,,,
,,place-WR-0067,,Melrose/Cedar Park,,,CR-zone-1,https://www.mbta.com/stops/place-WR-0067,,"1",,"2",,"Cedar Park and W Emerson St, Melrose, MA 02176",Melrose,,,
,,place-WR-0075,,Melrose Highlands,,,CR-zone-1,https://www.mbta.com/stops/place-WR-0075,,"1",,"1",,"497 Franklin St, Melrose, MA 02176",Melrose,,,
,,place-WR-0085,,Greenwood,,,CR-zone-2,https://www.mbta.com/stops/place-WR-0085,,"1",,"2",,"907 Main St, Wakefield, MA 01880",Wakefield,,,
,,place-WR-0099,,Wakefield,,,CR-zone-2,https://www.mbta.com/stops/place-WR-0099,,"1",,"2",,"225 North Ave, Wakefield, MA 01880",Wakefield,,,
,,place-WR-0120,,Reading,,,CR-zone-2,https://www.mbta.com/stops/place-WR-0120,,"1",,"1",,"35 Lincoln St, Reading, MA 01867",Reading,,,
,,place-WR-0163,,North Wilmington,,,CR-zone-3,https://www.mbta.com/stops/place-WR-0163,,"1",,"2",,"370 Middlesex Ave, Wilmington, MA 01887",Wilmington,,,
,,place-WR-0205,,Ballardvale,,,CR-zone-4,https://www.mbta.com/stops/place-WR-0205,,"1",,"1",,"195 Andover St, Andover, MA 01810",Andover,,,
,,place-WR-0228,,Andover,,,CR-zone-5,https://www.mbta.com/stops/place-WR-0228,,"1",,"1",,"17 Railroad St, Andover, MA 01810",Andover,,,
,,place-WR-0264,,Lawrence,,,CR-zone-6,https://www.mbta.com/stops/place-WR-0264,,"1",,"1",,"S Union St and Merrimack St, Lawrence, MA 01843",Lawrence,,,
,,place-WR-0325,,Bradford,,,CR-zone-7,https://www.mbta.com/stops/place-WR-0325,,"1",,"1",,"10 Railroad Ave, Bradford, MA 01835",Haverhill,,,
,,place-WR-0329,,Haverhill,,,CR-zone-7,https://www.mbta.com/stops/place-WR-0329,,"1",,"1",,"1 Washington Ave, Haverhill, MA 01832",Haverhill,,,
,,place-alfcl,,Alewife,,,,https://www.mbta.com/stops/place-alfcl,,"1",,"1",,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140",Cambridge,,,
,,place-alsgr,,Allston Street,,,,https://www.mbta.com/stops/place-alsgr,,"1",,"2",,"Allston St and Commonwealth Ave, Boston, MA 02134",Boston,,,
,,place-andrw,,Andrew,,,,https://www.mbta.com/stops/place-andrw,,"1",,"1",,"Dorchester Ave and Southhampton St, South Boston, MA 02127",Boston,,,
,,place-aport,,Airport,,,,https://www.mbta.com/stops/place-aport,,"1",,"1",,"Transportation Way and Service Rd, Boston, MA 02128",Boston,,,
,,place-aqucl,,Aquarium,,,,https://www.mbta.com/stops/place-aqucl,,"1",,"1",,"Atlantic Ave and State St, Boston, MA 02120",Boston,,,
,,place-armnl,,Arlington,,,,https://www.mbta.com/stops/place-armnl,,"1",,"1",,"Arlington St and Boylston St, Boston, MA 02116",Boston,,,
,,place-asmnl,,Ashmont,,,,https://www.mbta.com/stops/place-asmnl,,"1",,"1",,"Dorchester Ave and Ashmont St, Boston, MA 02124",Boston,,,
,,place-astao,,Assembly,,,,https://www.mbta.com/stops/place-astao,,"1",,"1",,"499 Foley St, Somerville, MA 02145",Somerville,,,
,,place-babck,,Babcock Street,,,,https://www.mbta.com/stops/place-babck,,"1",,"2",,"Commonwealth Ave and Babcock St, Boston, MA 02215",Boston,,,
,,place-bbsta,,Back Bay,,,CR-zone-1A,https://www.mbta.com/stops/place-bbsta,,"1",,"1",,"145 Dartmouth St Boston, MA 02116",Boston,,,
,,place-bckhl,,Back of the Hill,,,,https://www.mbta.com/stops/place-bckhl,,"1",,"2",,"100 S Huntington Ave, Boston, MA 02130",Boston,,,
,,place-bcnfd,,Beaconsfield,,,,https://www.mbta.com/stops/place-bcnfd,,"1",,"2",,"124 Beaconsfield Rd, Brookline, MA 02445",Brookline,,,
,,place-bcnwa,,Washington Square,,,,https://www.mbta.com/stops/place-bcnwa,,"1",,"1",,"Beacon St and Washington St, Brookline, MA",Brookline,,,
,,place-belsq,,Bellingham Square,,,,https://www.mbta.com/stops/place-belsq,,"1",,"1",,,Chelsea,,,
,,place-bland,,Blandford Street,,,,https://www.mbta.com/stops/place-bland,,"1",,"2",,"Commonwealth Ave and Blandford Mall, Boston, MA 02215",Boston,,,
,,place-bmmnl,,Beachmont,,,,https://www.mbta.com/stops/place-bmmnl,,"1",,"1",,"630 Winthrop Ave, Revere, MA 02151",Revere,,,
,,place-bndhl,,Brandon Hall,,,,https://www.mbta.com/stops/place-bndhl,,"1",,"2",,"1481 Beacon Street, Brookline, MA",Brookline,,,
,,place-bomnl,,Bowdoin,,,,https://www.mbta.com/stops/place-bomnl,,"1",,"2",,"Cambridge St and New Chardon St/Bowdoin St, Boston, MA 02114",Boston,,,
,,place-boxdt,,Box District,,,,https://www.mbta.com/stops/place-boxdt,,"1",,"1",,,Chelsea,,,
,,place-boyls,,Boylston,,,,https://www.mbta.com/stops/place-boyls,,"1",,"2",,"Boylston St and Tremont St, Boston, MA",Boston,,,
,,place-brdwy,,Broadway,,,,https://www.mbta.com/stops/place-brdwy,,"1",,"1",,"Dorchester Ave and Broadway, Boston, MA",Boston,,,
,,place-brico,,Packards Corner,,,,https://www.mbta.com/stops/place-brico,,"1",,"2",,"Commonwealth Ave and Brighton Ave, Boston, MA 02215",Boston,,,
,,place-brkhl,,Brookline Hills,,,,https://www.mbta.com/stops/place-brkhl,,"1",,"1",,"Tappan St and Cypress St, Brookline, MA 02445",Brookline,,,
,,place-brmnl,,Brigham Circle,,,,https://www.mbta.com/stops/place-brmnl,,"1",,"1",,"Huntington Ave and Francis St, Boston, MA",Boston,,,
,,place-brntn,,Braintree,,,CR-zone-2,https://www.mbta.com/stops/place-brntn,,"1",,"1",,"197 Ivory St, Braintree, MA 02184",Braintree,,,
,,place-bucen,,Boston University Central,,,,https://www.mbta.com/stops/place-bucen,,"1",,"1",,"Commonwealth Ave and Marsh Chapel, Boston, MA 02215",Boston,,,
,,place-buest,,Boston University East,,,,https://www.mbta.com/stops/place-buest,,"1",,"1",,"Commonwealth Ave and Granby St, Boston, MA 02215",Boston,,,
,,place-butlr,,Butler,,,,https://www.mbta.com/stops/place-butlr,,"1",,"1",,"Butler St and Branchfield St, Dorchester, MA 02124",Boston,,,
,,place-buwst,,Boston University West,,,,https://www.mbta.com/stops/place-buwst,,"1",,"2",,"Commonwealth Ave and Amory St, Boston, MA 02215",Boston,,,
,,place-bvmnl,,Brookline Village,,,,https://www.mbta.com/stops/place-bvmnl,,"1",,"1",,"31 Station Street, Brookline, MA 02445",Brookline,,,
,,place-capst,,Capen Street,,,,https://www.mbta.com/stops/place-capst,,"1",,"1",,"50 Capen St, Milton, MA 02186",Milton,,,
,,place-ccmnl,,Community College,,,,https://www.mbta.com/stops/place-ccmnl,,"1",,"1",,"Austin St and Rutherford Ave, Charlestown, MA",Boston,,,
,,place-cedgr,,Cedar Grove,,,,https://www.mbta.com/stops/place-cedgr,,"1",,"1",,"Fellsway St and Milton St, Dorchester, MA 02124",Boston,,,
,,place-cenav,,Central Avenue,,,,https://www.mbta.com/stops/place-cenav,,"1",,"1",,"23 Central Ave, Milton, MA 02186",Milton,,,
